,Unnamed: 0,SpeakerDyad,ListenerDyad,SpeakerExtract,ListenerExtract,SpeakerID,ListenerID,VideoPath,AudioPath,Condition,Modality,SpeakerSex,Duration,DisplayedDyad
194,584,47,49,2,3,F13,M15,./stim/processed_extracts/fake_ad/53\47_2_49_3_vva.mov,./stim/processed_extracts/audio/53/47_2_49_3_audio.wav,fake_ad,vva,F,7,53
168,506,22,18,1,5,F7,M5,./stim/processed_extracts/fake_ad/23\18_5_22_1_vva.mov,./stim/processed_extracts/audio/23/18_5_22_1_audio.wav,fake_ad,vva,F,6,23
158,476,15,12,4,4,M2,F4,./stim/processed_extracts/fake_ad/11\12_4_15_4_vva.mov,./stim/processed_extracts/audio/11/12_4_15_4_audio.wav,fake_ad,vva,M,11,11
191,575,54,51,4,1,M13,F14,./stim/processed_extracts/fake_ad/50\51_1_54_4_vva.mov,./stim/processed_extracts/audio/50/51_1_54_4_audio.wav,fake_ad,vva,M,8,50
171,515,36,30,7,2,F8,M9,./stim/processed_extracts/fake_ad/29\30_2_36_7_vva.mov,./stim/processed_extracts/audio/29/30_2_36_7_audio.wav,fake_ad,vva,F,7,29
192,578,55,50,5,2,M14,F14,./stim/processed_extracts/fake_ad/51\50_2_55_5_vva.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,fake_ad,vva,M,14,51
195,587,60,48,2,7,F15,M14,./stim/processed_extracts/fake_ad/55\48_7_60_2_vva.mov,./stim/processed_extracts/audio/55/48_7_60_2_audio.wav,fake_ad,vva,F,11,55
156,470,10,13,2,5,M4,F4,./stim/processed_extracts/fake_ad/8\10_2_13_5_vva.mov,./stim/processed_extracts/audio/8/10_2_13_5_audio.wav,fake_ad,vva,M,7,8
173,521,32,29,4,3,M10,F8,./stim/processed_extracts/fake_ad/31\29_3_32_4_vva.mov,./stim/processed_extracts/audio/31/29_3_32_4_audio.wav,fake_ad,vva,M,11,31
165,497,17,25,2,2,M6,F6,./stim/processed_extracts/fake_ad/19\17_2_25_2_vva.mov,./stim/processed_extracts/audio/19/17_2_25_2_audio.wav,fake_ad,vva,M,10,19
164,494,20,17,2,1,M5,F5,./stim/processed_extracts/fake_ad/18\17_1_20_2_vva.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,fake_ad,vva,M,9,18
163,491,10,13,4,3,F2,M3,./stim/processed_extracts/fake_ad/16\10_4_13_3_vva.mov,./stim/processed_extracts/audio/16/10_4_13_3_audio.wav,fake_ad,vva,F,8,16
185,557,42,43,1,1,M12,F10,./stim/processed_extracts/fake_ad/44\42_1_43_1_vva.mov,./stim/processed_extracts/audio/44/42_1_43_1_audio.wav,fake_ad,vva,M,11,44
154,464,3,7,5,4,M1,F3,./stim/processed_extracts/fake_ad/6\3_5_7_4_vva.mov,./stim/processed_extracts/audio/6/3_5_7_4_audio.wav,fake_ad,vva,M,6,6
180,542,35,44,7,1,F9,M12,./stim/processed_extracts/fake_ad/39\35_7_44_1_vva.mov,./stim/processed_extracts/audio/39/35_7_44_1_audio.wav,fake_ad,vva,F,8,39
170,512,26,27,5,6,M8,F7,./stim/processed_extracts/fake_ad/28\26_5_27_6_vva.mov,./stim/processed_extracts/audio/28/26_5_27_6_audio.wav,fake_ad,vva,M,7,28
144,434,53,53,3,4,M15,F13,./stim/processed_extracts/fake/53\3_4_vva.mov,./stim/processed_extracts/audio/53/3_4_audio.wav,fake_wd,vva,M,13,53
112,338,11,11,1,2,M2,F4,./stim/processed_extracts/fake/11\1_2_vva.mov,./stim/processed_extracts/audio/11/1_2_audio.wav,fake_wd,vva,M,7,11
143,431,50,50,3,4,M13,F14,./stim/processed_extracts/fake/50\3_4_vva.mov,./stim/processed_extracts/audio/50/3_4_audio.wav,fake_wd,vva,M,8,50
125,377,29,29,4,2,M9,F8,./stim/processed_extracts/fake/29\2_4_vva.mov,./stim/processed_extracts/audio/29/2_4_audio.wav,fake_wd,vva,M,8,29
147,443,55,55,4,7,M14,F15,./stim/processed_extracts/fake/55\4_7_vva.mov,./stim/processed_extracts/audio/55/4_7_audio.wav,fake_wd,vva,M,12,55
109,329,8,8,4,5,F4,M4,./stim/processed_extracts/fake/8\4_5_vva.mov,./stim/processed_extracts/audio/8/4_5_audio.wav,fake_wd,vva,F,9,8
126,380,31,31,1,10,M10,F8,./stim/processed_extracts/fake/31\1_10_vva.mov,./stim/processed_extracts/audio/31/1_10_audio.wav,fake_wd,vva,M,8,31
120,362,19,19,2,5,M6,F6,./stim/processed_extracts/fake/19\2_5_vva.mov,./stim/processed_extracts/audio/19/2_5_audio.wav,fake_wd,vva,M,8,19
119,359,18,18,1,3,F5,M5,./stim/processed_extracts/fake/18\1_3_vva.mov,./stim/processed_extracts/audio/18/1_3_audio.wav,fake_wd,vva,F,9,18
118,356,16,16,1,2,F2,M3,./stim/processed_extracts/fake/16\1_2_vva.mov,./stim/processed_extracts/audio/16/1_2_audio.wav,fake_wd,vva,F,11,16
107,323,6,6,5,4,F3,M1,./stim/processed_extracts/fake/6\4_5_vva.mov,./stim/processed_extracts/audio/6/4_5_audio.wav,fake_wd,vva,F,10,6
124,374,28,28,4,2,M8,F7,./stim/processed_extracts/fake/28\2_4_vva.mov,./stim/processed_extracts/audio/28/2_4_audio.wav,fake_wd,vva,M,8,28
149,449,58,58,1,2,M15,F15,./stim/processed_extracts/fake/58\1_2_vva.mov,./stim/processed_extracts/audio/58/1_2_audio.wav,fake_wd,vva,M,14,58
116,350,14,14,1,5,M3,F3,./stim/processed_extracts/fake/14\1_5_vva.mov,./stim/processed_extracts/audio/14/1_5_audio.wav,fake_wd,vva,M,8,14
128,386,32,32,5,2,F9,M10,./stim/processed_extracts/fake/32\2_5_vva.mov,./stim/processed_extracts/audio/32/2_5_audio.wav,fake_wd,vva,F,6,32
101,305,2,2,3,2,F1,M2,./stim/processed_extracts/fake/2\2_3_vva.mov,./stim/processed_extracts/audio/2/2_3_audio.wav,fake_wd,vva,F,8,2
105,317,4,4,9,3,M2,F2,./stim/processed_extracts/fake/4\3_9_vva.mov,./stim/processed_extracts/audio/4/3_9_audio.wav,fake_wd,vva,M,11,4
84,254,53,53,1,1,F13,M15,./stim/processed_extracts/true/53\1_vva.mov,./stim/processed_extracts/audio/53/1_audio.wav,TRUE,vva,F,7,53
34,104,23,23,1,1,M5,F7,./stim/processed_extracts/true/23\1_vva.mov,./stim/processed_extracts/audio/23/1_audio.wav,TRUE,vva,M,9,23
16,50,11,11,8,8,M2,F4,./stim/processed_extracts/true/11\8_vva.mov,./stim/processed_extracts/audio/11/8_audio.wav,TRUE,vva,M,24,11
80,242,50,50,1,1,F14,M13,./stim/processed_extracts/true/50\1_vva.mov,./stim/processed_extracts/audio/50/1_audio.wav,TRUE,vva,F,8,50
45,137,29,29,1,1,M9,F8,./stim/processed_extracts/true/29\1_vva.mov,./stim/processed_extracts/audio/29/1_audio.wav,TRUE,vva,M,6,29
81,245,51,51,3,3,M14,F14,./stim/processed_extracts/true/51\3_vva.mov,./stim/processed_extracts/audio/51/3_audio.wav,TRUE,vva,M,7,51
90,272,55,55,6,6,M14,F15,./stim/processed_extracts/true/55\6_vva.mov,./stim/processed_extracts/audio/55/6_audio.wav,TRUE,vva,M,9,55
11,35,8,8,1,1,M4,F4,./stim/processed_extracts/true/8\1_vva.mov,./stim/processed_extracts/audio/8/1_audio.wav,TRUE,vva,M,7,8
47,143,31,31,3,3,M10,F8,./stim/processed_extracts/true/31\3_vva.mov,./stim/processed_extracts/audio/31/3_audio.wav,TRUE,vva,M,9,31
29,89,19,19,1,1,M6,F6,./stim/processed_extracts/true/19\1_vva.mov,./stim/processed_extracts/audio/19/1_audio.wav,TRUE,vva,M,7,19
28,86,18,18,4,4,M5,F5,./stim/processed_extracts/true/18\4_vva.mov,./stim/processed_extracts/audio/18/4_audio.wav,TRUE,vva,M,9,18
27,83,16,16,4,4,M3,F2,./stim/processed_extracts/true/16\4_vva.mov,./stim/processed_extracts/audio/16/4_audio.wav,TRUE,vva,M,7,16
72,218,44,44,3,3,M12,F10,./stim/processed_extracts/true/44\3_vva.mov,./stim/processed_extracts/audio/44/3_audio.wav,TRUE,vva,M,8,44
9,29,6,6,3,3,M1,F3,./stim/processed_extracts/true/6\3_vva.mov,./stim/processed_extracts/audio/6/3_audio.wav,TRUE,vva,M,23,6
62,188,39,39,3,3,M12,F9,./stim/processed_extracts/true/39\3_vva.mov,./stim/processed_extracts/audio/39/3_audio.wav,TRUE,vva,M,10,39
43,131,28,28,1,1,M8,F7,./stim/processed_extracts/true/28\1_vva.mov,./stim/processed_extracts/audio/28/1_audio.wav,TRUE,vva,M,8,28
59,179,37,37,4,4,M10,F11,./stim/processed_extracts/true/37\4_vva.mov,./stim/processed_extracts/audio/37/4_audio.wav,TRUE,vva,M,7,37
53,161,34,34,7,7,F10,M9,./stim/processed_extracts/true/34\7_vva.mov,./stim/processed_extracts/audio/34/7_audio.wav,TRUE,vva,F,9,34
66,200,41,41,1,1,F11,M11,./stim/processed_extracts/true/41\1_vva.mov,./stim/processed_extracts/audio/41/1_audio.wav,TRUE,vva,F,9,41
50,152,32,32,1,1,M10,F9,./stim/processed_extracts/true/32\1_vva.mov,./stim/processed_extracts/audio/32/1_audio.wav,TRUE,vva,M,14,32
93,281,57,57,3,3,M15,F14,./stim/processed_extracts/true/57\3_vva.mov,./stim/processed_extracts/audio/57/3_audio.wav,TRUE,vva,M,13,57
86,260,54,54,1,1,F15,M13,./stim/processed_extracts/true/54\1_vva.mov,./stim/processed_extracts/audio/54/1_audio.wav,TRUE,vva,F,7,54
8,26,5,5,5,5,M3,F1,./stim/processed_extracts/true/5\5_vva.mov,./stim/processed_extracts/audio/5/5_audio.wav,TRUE,vva,M,7,5
77,233,48,48,5,5,M14,F13,./stim/processed_extracts/true/48\5_vva.mov,./stim/processed_extracts/audio/48/5_audio.wav,TRUE,vva,M,12,48
48,146,31,31,7,7,F8,M10,./stim/processed_extracts/true/31\7_vva.mov,./stim/processed_extracts/audio/31/7_audio.wav,TRUE,vva,F,10,31
74,224,46,46,2,2,F12,M14,./stim/processed_extracts/true/46\2_vva.mov,./stim/processed_extracts/audio/46/2_audio.wav,TRUE,vva,F,8,46
