Date,Subject,Age,Sex,TrialNumber,BlockNumber,Block,VideoPath,AudioPath,SpeakerID,ListenerID,SpeakerDyad,ListenerDyad,SpeakerExtract,ListenerExtract,Condition,SpeakerSex,Duration,CorrectResp,Resp,LikertResp
38:21.0,2,44,m,1,1,va,./stim/processed_extracts/true/4\7_va.mov,./stim/processed_extracts/audio/4/7_audio.wav,F2,M2,4,4,7,7,TRUE,F,19,g,g,4
38:21.0,2,44,m,2,1,va,./stim/processed_extracts/fake/36\1_6_va.mov,./stim/processed_extracts/audio/36/1_6_audio.wav,F8,M11,36,36,1,6,fake_wd,F,8,h,h,3
38:21.0,2,44,m,3,1,va,./stim/processed_extracts/fake/14\1_5_va.mov,./stim/processed_extracts/audio/14/1_5_audio.wav,M3,F3,14,14,1,5,fake_wd,M,8,h,h,3
38:21.0,2,44,m,4,1,va,./stim/processed_extracts/fake/16\1_2_va.mov,./stim/processed_extracts/audio/16/1_2_audio.wav,F2,M3,16,16,1,2,fake_wd,F,11,h,h,2
38:21.0,2,44,m,5,1,va,./stim/processed_extracts/fake/34\2_6_va.mov,./stim/processed_extracts/audio/34/2_6_audio.wav,F10,M9,34,34,6,2,fake_wd,F,9,h,h,3
38:21.0,2,44,m,6,1,va,./stim/processed_extracts/true/27\3_va.mov,./stim/processed_extracts/audio/27/3_audio.wav,M7,F7,27,27,3,3,TRUE,M,11,g,g,3
38:21.0,2,44,m,7,1,va,./stim/processed_extracts/fake_ad/52\46_3_56_5_va.mov,./stim/processed_extracts/audio/52/46_3_56_5_audio.wav,F12,M16,46,56,3,5,fake_ad,F,12,h,h,1
38:21.0,2,44,m,8,1,va,./stim/processed_extracts/true/36\4_va.mov,./stim/processed_extracts/audio/36/4_audio.wav,M11,F8,36,36,4,4,TRUE,M,13,g,h,2
38:21.0,2,44,m,9,1,va,./stim/processed_extracts/fake/54\7_8_va.mov,./stim/processed_extracts/audio/54/7_8_audio.wav,M13,F15,54,54,7,8,fake_wd,M,10,h,g,3
38:21.0,2,44,m,10,1,va,./stim/processed_extracts/fake_ad/16\10_4_13_3_va.mov,./stim/processed_extracts/audio/16/10_4_13_3_audio.wav,F2,M3,10,13,4,3,fake_ad,F,8,h,g,3
38:21.0,2,44,m,11,1,va,./stim/processed_extracts/fake_ad/14\5_7_6_2_va.mov,./stim/processed_extracts/audio/14/5_7_6_2_audio.wav,F3,M3,6,5,2,7,fake_ad,F,8,h,h,4
38:21.0,2,44,m,12,1,va,./stim/processed_extracts/fake_ad/53\47_2_49_3_va.mov,./stim/processed_extracts/audio/53/47_2_49_3_audio.wav,F13,M15,47,49,2,3,fake_ad,F,7,h,h,3
38:21.0,2,44,m,13,1,va,./stim/processed_extracts/true/28\3_va.mov,./stim/processed_extracts/audio/28/3_audio.wav,F7,M8,28,28,3,3,TRUE,F,6,g,h,1
38:21.0,2,44,m,14,1,va,./stim/processed_extracts/true/14\2_va.mov,./stim/processed_extracts/audio/14/2_audio.wav,M3,F3,14,14,2,2,TRUE,M,7,g,h,1
38:21.0,2,44,m,15,1,va,./stim/processed_extracts/true/53\2_va.mov,./stim/processed_extracts/audio/53/2_audio.wav,F13,M15,53,53,2,2,TRUE,F,11,g,g,2
38:21.0,2,44,m,16,1,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,TRUE,M,7,g,g,4
38:21.0,2,44,m,17,1,va,./stim/processed_extracts/true/39\1_va.mov,./stim/processed_extracts/audio/39/1_audio.wav,M12,F9,39,39,1,1,TRUE,M,7,g,g,4
38:21.0,2,44,m,18,1,va,./stim/processed_extracts/fake/50\3_4_va.mov,./stim/processed_extracts/audio/50/3_4_audio.wav,M13,F14,50,50,3,4,fake_wd,M,8,h,h,4
38:21.0,2,44,m,19,1,va,./stim/processed_extracts/true/28\1_va.mov,./stim/processed_extracts/audio/28/1_audio.wav,M8,F7,28,28,1,1,TRUE,M,8,g,g,3
38:21.0,2,44,m,20,1,va,./stim/processed_extracts/fake_ad/21\18_2_25_1_va.mov,./stim/processed_extracts/audio/21/18_2_25_1_audio.wav,M7,F5,25,18,1,2,fake_ad,M,8,h,g,3
38:21.0,2,44,m,21,1,va,./stim/processed_extracts/true/55\1_va.mov,./stim/processed_extracts/audio/55/1_audio.wav,F15,M14,55,55,1,1,TRUE,F,14,g,h,1
38:21.0,2,44,m,22,1,va,./stim/processed_extracts/true/14\3_va.mov,./stim/processed_extracts/audio/14/3_audio.wav,M3,F3,14,14,3,3,TRUE,M,15,g,g,4
38:21.0,2,44,m,23,1,va,./stim/processed_extracts/true/15\2_va.mov,./stim/processed_extracts/audio/15/2_audio.wav,M2,F3,15,15,2,2,TRUE,M,13,g,g,4
38:21.0,2,44,m,24,1,va,./stim/processed_extracts/true/21\3_va.mov,./stim/processed_extracts/audio/21/3_audio.wav,F5,M7,21,21,3,3,TRUE,F,13,g,g,4
38:21.0,2,44,m,25,1,va,./stim/processed_extracts/true/42\5_va.mov,./stim/processed_extracts/audio/42/5_audio.wav,M12,F11,42,42,5,5,TRUE,M,13,g,g,3
38:21.0,2,44,m,26,1,va,./stim/processed_extracts/true/40\1_va.mov,./stim/processed_extracts/audio/40/1_audio.wav,M10,F10,40,40,1,1,TRUE,M,7,g,g,1
38:21.0,2,44,m,27,1,va,./stim/processed_extracts/fake_ad/50\51_1_54_4_va.mov,./stim/processed_extracts/audio/50/51_1_54_4_audio.wav,M13,F14,54,51,4,1,fake_ad,M,8,h,h,3
38:21.0,2,44,m,28,1,va,./stim/processed_extracts/fake/55\4_7_va.mov,./stim/processed_extracts/audio/55/4_7_audio.wav,M14,F15,55,55,4,7,fake_wd,M,12,h,g,1
38:21.0,2,44,m,29,1,va,./stim/processed_extracts/true/52\3_va.mov,./stim/processed_extracts/audio/52/3_audio.wav,M16,F12,52,52,3,3,TRUE,M,10,g,g,2
38:21.0,2,44,m,30,1,va,./stim/processed_extracts/fake/56\2_3_va.mov,./stim/processed_extracts/audio/56/2_3_audio.wav,F13,M16,56,56,2,3,fake_wd,F,11,h,g,1
38:21.0,2,44,m,31,1,va,./stim/processed_extracts/fake/15\3_5_va.mov,./stim/processed_extracts/audio/15/3_5_audio.wav,M2,F3,15,15,5,3,fake_wd,M,17,h,h,4
38:21.0,2,44,m,32,1,va,./stim/processed_extracts/fake_ad/12\6_6_11_4_va.mov,./stim/processed_extracts/audio/12/6_6_11_4_audio.wav,M1,F4,6,11,6,4,fake_ad,M,11,h,h,4
38:21.0,2,44,m,33,1,va,./stim/processed_extracts/true/40\2_va.mov,./stim/processed_extracts/audio/40/2_audio.wav,F10,M10,40,40,2,2,TRUE,F,12,g,h,1
38:21.0,2,44,m,34,1,va,./stim/processed_extracts/true/24\3_va.mov,./stim/processed_extracts/audio/24/3_audio.wav,F5,M8,24,24,3,3,TRUE,F,10,g,g,3
38:21.0,2,44,m,35,1,va,./stim/processed_extracts/true/32\1_va.mov,./stim/processed_extracts/audio/32/1_audio.wav,M10,F9,32,32,1,1,TRUE,M,14,g,g,1
38:21.0,2,44,m,36,1,va,./stim/processed_extracts/fake_ad/15\4_2_14_4_va.mov,./stim/processed_extracts/audio/15/4_2_14_4_audio.wav,M2,F3,4,14,2,4,fake_ad,M,9,h,h,1
38:21.0,2,44,m,37,1,va,./stim/processed_extracts/fake/19\2_5_va.mov,./stim/processed_extracts/audio/19/2_5_audio.wav,M6,F6,19,19,2,5,fake_wd,M,8,h,h,4
38:21.0,2,44,m,38,1,va,./stim/processed_extracts/fake_ad/39\35_7_44_1_va.mov,./stim/processed_extracts/audio/39/35_7_44_1_audio.wav,F9,M12,35,44,7,1,fake_ad,F,8,h,g,3
38:21.0,2,44,m,39,1,va,./stim/processed_extracts/fake/2\2_3_va.mov,./stim/processed_extracts/audio/2/2_3_audio.wav,F1,M2,2,2,3,2,fake_wd,F,8,h,g,3
38:21.0,2,44,m,40,1,va,./stim/processed_extracts/true/8\3_va.mov,./stim/processed_extracts/audio/8/3_audio.wav,M4,F4,8,8,3,3,TRUE,M,5,g,g,3
38:21.0,2,44,m,41,1,va,./stim/processed_extracts/true/47\3_va.mov,./stim/processed_extracts/audio/47/3_audio.wav,F13,M13,47,47,3,3,TRUE,F,9,g,h,1
38:21.0,2,44,m,42,1,va,./stim/processed_extracts/fake_ad/36\38_2_41_2_va.mov,./stim/processed_extracts/audio/36/38_2_41_2_audio.wav,M11,F8,41,38,2,2,fake_ad,M,10,h,h,3
38:21.0,2,44,m,43,1,va,./stim/processed_extracts/true/38\4_va.mov,./stim/processed_extracts/audio/38/4_audio.wav,M12,F8,38,38,4,4,TRUE,M,16,g,g,3
38:21.0,2,44,m,44,1,va,./stim/processed_extracts/true/23\1_va.mov,./stim/processed_extracts/audio/23/1_audio.wav,M5,F7,23,23,1,1,TRUE,M,9,g,h,3
38:21.0,2,44,m,45,1,va,./stim/processed_extracts/true/16\4_va.mov,./stim/processed_extracts/audio/16/4_audio.wav,M3,F2,16,16,4,4,TRUE,M,7,g,h,2
38:21.0,2,44,m,46,1,va,./stim/processed_extracts/true/50\1_va.mov,./stim/processed_extracts/audio/50/1_audio.wav,F14,M13,50,50,1,1,TRUE,F,8,g,g,3
38:21.0,2,44,m,47,1,va,./stim/processed_extracts/fake/47\5_6_va.mov,./stim/processed_extracts/audio/47/5_6_audio.wav,F13,M13,47,47,6,5,fake_wd,F,12,h,h,4
38:21.0,2,44,m,48,1,va,./stim/processed_extracts/true/2\1_va.mov,./stim/processed_extracts/audio/2/1_audio.wav,M2,F1,2,2,1,1,TRUE,M,11,g,h,3
