subj,trial,block,date,stim,stim_order,response,rt,param_index,video_path,condition,duration,dyad,mouth_fit,eye_fit,genuineness,category,block,audio_path
12,12,0,2024-07-29T15:09:06.264Z,14_2_eyes.mov,0,yes,2896,0,./stimuli/eyes/14_2.mov,true,7,14,0.4572036208800272,-0.1681404751306418,0.4,miss,eyes,./stimuli/audio/14/2_audio.wav
12,13,0,2024-07-29T15:09:06.264Z,4_7_eyes.mov,0,yes,4227,0,./stimuli/eyes/4_7.mov,true,19,4,0.2384833958602173,0.18368786210514884,0.8,hit,eyes,./stimuli/audio/4/7_audio.wav
12,14,0,2024-07-29T15:09:06.264Z,31_29_3_32_4_eyes.mov,0,yes,1916,0,./stimuli/eyes/31_29_3_32_4.mov,fake,11,31,0.09959067922407874,-0.018974100942408284,0.5714285714285714,fa,eyes,./stimuli/audio/31/29_3_32_4_audio.wav
12,15,0,2024-07-29T15:09:06.264Z,45_3_eyes.mov,0,yes,3061,0,./stimuli/eyes/45_3.mov,true,7,45,0.16889004277659403,0.038899221686994556,0.125,miss,eyes,./stimuli/audio/45/3_audio.wav
12,16,0,2024-07-29T15:09:06.264Z,58_1_2_eyes.mov,0,no,2773,0,./stimuli/eyes/58_1_2.mov,fake,14,58,0.10435640304664591,0.02021080964410129,0.6,fa,eyes,./stimuli/audio/58/1_2_audio.wav
12,17,0,2024-07-29T15:09:06.264Z,8_1_eyes.mov,0,no,3465,0,./stimuli/eyes/8_1.mov,true,7,8,0.43411028057714246,-0.10019960292337136,0.42857142857142855,miss,eyes,./stimuli/audio/8/1_audio.wav
12,18,0,2024-07-29T15:09:06.264Z,29_1_eyes.mov,0,yes,4009,0,./stimuli/eyes/29_1.mov,true,6,29,0.43759910538650976,0.7861077054117834,0.8,hit,eyes,./stimuli/audio/29/1_audio.wav
12,19,0,2024-07-29T15:09:06.264Z,12_3_eyes.mov,0,no,2672,0,./stimuli/eyes/12_3.mov,true,13,12,0.3155735483651602,-0.04266906465109103,0.42857142857142855,miss,eyes,./stimuli/audio/12/3_audio.wav
12,20,0,2024-07-29T15:09:06.264Z,57_1_eyes.mov,0,yes,2367,0,./stimuli/eyes/57_1.mov,true,11,57,0.1901594820910893,0.18849068799535393,1.0,hit,eyes,./stimuli/audio/57/1_audio.wav
12,21,0,2024-07-29T15:09:06.264Z,57_3_eyes.mov,0,yes,4697,0,./stimuli/eyes/57_3.mov,true,13,57,0.4051063890989022,0.22300043342787418,0.8333333333333334,hit,eyes,./stimuli/audio/57/3_audio.wav
12,22,0,2024-07-29T15:09:06.264Z,58_5_eyes.mov,0,no,10526,0,./stimuli/eyes/58_5.mov,true,10,58,0.3512393589458156,-0.10630635603297785,0.25,miss,eyes,./stimuli/audio/58/5_audio.wav
12,23,0,2024-07-29T15:09:06.264Z,43_3_7_eyes.mov,0,yes,7779,0,./stimuli/eyes/43_3_7.mov,fake,11,43,0.030979213372310438,-0.09750080961576384,0.75,fa,eyes,./stimuli/audio/43/3_7_audio.wav
12,24,0,2024-07-29T15:09:06.264Z,2_1_eyes.mov,0,yes,2547,0,./stimuli/eyes/2_1.mov,true,11,2,0.19621248210469247,-0.12352679664064495,0.3333333333333333,miss,eyes,./stimuli/audio/2/1_audio.wav
12,25,0,2024-07-29T15:09:06.264Z,19_17_2_25_2_eyes.mov,0,yes,3139,0,./stimuli/eyes/19_17_2_25_2.mov,fake,10,19,-0.3062581015621111,0.3018231666755847,0.25,cr,eyes,./stimuli/audio/19/17_2_25_2_audio.wav
12,26,0,2024-07-29T15:09:06.264Z,1_2_4_3_3_eyes.mov,0,no,7346,0,./stimuli/eyes/1_2_4_3_3.mov,fake,10,1,-0.3042674796373409,0.2984003203761494,0.3333333333333333,cr,eyes,./stimuli/audio/1/2_4_3_3_audio.wav
12,27,0,2024-07-29T15:09:06.264Z,31_7_eyes.mov,0,yes,2752,0,./stimuli/eyes/31_7.mov,true,10,31,0.2819450977061281,0.42806784940014414,1.0,hit,eyes,./stimuli/audio/31/7_audio.wav
12,28,0,2024-07-29T15:09:06.264Z,1_3_eyes.mov,0,yes,1884,0,./stimuli/eyes/1_3.mov,true,26,1,0.1670316296049371,0.1814596651596774,1.0,hit,eyes,./stimuli/audio/1/3_audio.wav
12,29,0,2024-07-29T15:09:06.264Z,60_4_6_eyes.mov,0,yes,3183,0,./stimuli/eyes/60_4_6.mov,fake,9,60,-0.4040083525916895,0.253970190149846,0.3333333333333333,cr,eyes,./stimuli/audio/60/4_6_audio.wav
12,30,0,2024-07-29T15:09:06.264Z,28_26_5_27_6_eyes.mov,0,yes,2760,0,./stimuli/eyes/28_26_5_27_6.mov,fake,7,28,0.14365129216079786,-0.12388720765740559,0.75,fa,eyes,./stimuli/audio/28/26_5_27_6_audio.wav
12,31,0,2024-07-29T15:09:06.264Z,55_4_7_eyes.mov,0,yes,15163,0,./stimuli/eyes/55_4_7.mov,fake,12,55,0.07584842753372179,-0.17660186780226106,0.625,fa,eyes,./stimuli/audio/55/4_7_audio.wav
12,32,0,2024-07-29T15:09:06.264Z,31_5_9_eyes.mov,0,no,3070,0,./stimuli/eyes/31_5_9.mov,fake,8,31,-0.3194713972959606,0.30648918937054725,0.25,cr,eyes,./stimuli/audio/31/5_9_audio.wav
12,33,0,2024-07-29T15:09:06.264Z,3_1_6_eyes.mov,0,yes,2835,0,./stimuli/eyes/3_1_6.mov,fake,7,3,-0.4642603847610854,0.43942074913705,0.25,cr,eyes,./stimuli/audio/3/1_6_audio.wav
12,34,0,2024-07-29T15:09:06.264Z,47_3_eyes.mov,0,no,7918,0,./stimuli/eyes/47_3.mov,true,9,47,0.20621953119091913,-0.16083945449198914,0.2,miss,eyes,./stimuli/audio/47/3_audio.wav
12,35,0,2024-07-29T15:09:06.264Z,22_19_3_23_2_eyes.mov,0,yes,6052,0,./stimuli/eyes/22_19_3_23_2.mov,fake,11,22,0.08484422710888113,-0.043331687022501224,0.6,fa,eyes,./stimuli/audio/22/19_3_23_2_audio.wav
12,36,0,2024-07-29T15:09:06.264Z,10_3_6_eyes.mov,0,no,3557,0,./stimuli/eyes/10_3_6.mov,fake,6,10,-0.3597339671539078,0.153488504955574,0.3333333333333333,cr,eyes,./stimuli/audio/10/3_6_audio.wav
12,37,0,2024-07-29T15:09:06.264Z,54_2_6_eyes.mov,0,no,2741,0,./stimuli/eyes/54_2_6.mov,fake,9,54,-0.29618043652047055,0.3949913972066293,0.25,cr,eyes,./stimuli/audio/54/2_6_audio.wav
12,38,0,2024-07-29T15:09:06.264Z,60_1_eyes.mov,0,no,1557,0,./stimuli/eyes/60_1.mov,true,6,60,0.4126687774525441,-0.0869895238350049,0.3333333333333333,miss,eyes,./stimuli/audio/60/1_audio.wav
12,39,0,2024-07-29T15:09:06.264Z,40_5_8_eyes.mov,0,yes,5415,0,./stimuli/eyes/40_5_8.mov,fake,10,40,-0.1760169325241136,0.34136273084577456,0.2,cr,eyes,./stimuli/audio/40/5_8_audio.wav
