subj,trial,block,date,stim,stim_order,response,rt,param_index,video_path,condition,duration,dyad,mouth_fit,eye_fit,genuineness,category,block,audio_path
121,0,0,2024-07-29T19:29:40.371Z,31_5_9_mouth.mov,0,no,3849,0,./stimuli/mouth/31_5_9.mov,fake,8,31,-0.3194713972959606,0.30648918937054725,0.25,cr,mouth,./stimuli/audio/31/5_9_audio.wav
121,1,0,2024-07-29T19:33:59.090Z,4_4_mouth.mov,0,yes,6913,0,./stimuli/mouth/4_4.mov,true,7,4,0.27149820146759923,0.2521458194443752,0.7142857142857143,hit,mouth,./stimuli/audio/4/4_audio.wav
121,2,0,2024-07-29T19:33:59.090Z,36_3_mouth.mov,0,no,7959,0,./stimuli/mouth/36_3.mov,true,9,36,0.329614763427785,-0.023430414005525233,0.16666666666666666,miss,mouth,./stimuli/audio/36/3_audio.wav
121,3,0,2024-07-29T19:33:59.090Z,43_4_mouth.mov,0,yes,5317,0,./stimuli/mouth/43_4.mov,true,8,43,0.3318926959502144,0.5459867646576265,0.875,hit,mouth,./stimuli/audio/43/4_audio.wav
121,4,0,2024-07-29T19:33:59.090Z,5_1_mouth.mov,0,yes,1860,0,./stimuli/mouth/5_1.mov,true,19,5,0.27128235194238964,0.3313292072657651,1.0,hit,mouth,./stimuli/audio/5/1_audio.wav
121,5,0,2024-07-29T19:33:59.090Z,46_2_mouth.mov,0,no,2978,0,./stimuli/mouth/46_2.mov,true,8,46,0.22314361077696993,-0.37187593532122043,0.4,miss,mouth,./stimuli/audio/46/2_audio.wav
121,6,0,2024-07-29T19:33:59.090Z,10_3_6_mouth.mov,0,no,4858,0,./stimuli/mouth/10_3_6.mov,fake,6,10,-0.3597339671539078,0.153488504955574,0.3333333333333333,cr,mouth,./stimuli/audio/10/3_6_audio.wav
121,7,0,2024-07-29T19:33:59.090Z,43_3_7_mouth.mov,0,yes,2004,0,./stimuli/mouth/43_3_7.mov,fake,11,43,0.030979213372310438,-0.09750080961576384,0.75,fa,mouth,./stimuli/audio/43/3_7_audio.wav
121,8,0,2024-07-29T19:33:59.090Z,47_3_mouth.mov,0,yes,3009,0,./stimuli/mouth/47_3.mov,true,9,47,0.20621953119091913,-0.16083945449198914,0.2,miss,mouth,./stimuli/audio/47/3_audio.wav
121,9,0,2024-07-29T19:33:59.090Z,1_2_4_3_3_mouth.mov,0,yes,2966,0,./stimuli/mouth/1_2_4_3_3.mov,fake,10,1,-0.3042674796373409,0.2984003203761494,0.3333333333333333,cr,mouth,./stimuli/audio/1/2_4_3_3_audio.wav
121,10,0,2024-07-29T19:33:59.090Z,11_12_4_15_4_mouth.mov,0,yes,8095,0,./stimuli/mouth/11_12_4_15_4.mov,fake,11,11,-0.44589938150044073,0.3329780195541019,0.2857142857142857,cr,mouth,./stimuli/audio/11/12_4_15_4_audio.wav
121,11,0,2024-07-29T19:33:59.090Z,55_4_7_mouth.mov,0,yes,2027,0,./stimuli/mouth/55_4_7.mov,fake,12,55,0.07584842753372179,-0.17660186780226106,0.625,fa,mouth,./stimuli/audio/55/4_7_audio.wav
