Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66a7afc13f42742afebee4c5,5dd0177d7160cb1088cb4729,APPROVED,Not Applicable,2024-07-29T15:05:46.163000Z,2024-07-29T15:17:37.918000Z,2024-07-29T15:17:38.641000Z,2024-07-29T15:17:38.528739Z,712.0,CDDT2OUD,1090,French,47,Male,White,France,France,France,French,No,Full-Time
66a7afc663b26e711155fcf6,665c819b0e3d717add13995e,APPROVED,Not Applicable,2024-07-29T15:05:46.548000Z,2024-07-29T15:16:21.470000Z,2024-07-29T15:16:22.358000Z,2024-07-29T15:16:22.228004Z,635.0,CDDT2OUD,36,French,32,Male,White,France,Canada,France,French,No,Full-Time
66a7afd273713303dbef29de,66a1226abbe3483df33f93a2,APPROVED,Not Applicable,2024-07-29T15:05:54.810000Z,2024-07-29T15:16:34.182000Z,2024-07-29T15:16:35.486000Z,2024-07-29T15:16:35.386332Z,640.0,CDDT2OUD,4,French,31,Male,White,France,France,France,French,No,Full-Time
66a7afe9a208783a2bad01e6,65e49139dbd8c70e50984516,RETURNED,Not Applicable,2024-07-29T15:17:00.067000Z,,,2024-07-29T21:40:42.647852Z,,,5,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7b004e7b0862b963aed08,665490d75b3bbb3e8317b417,APPROVED,Not Applicable,2024-07-29T15:11:52.448000Z,2024-07-29T15:35:09.298000Z,2024-07-29T15:35:09.907000Z,2024-07-29T15:35:09.784506Z,1397.0,CDDT2OUD,34,French,27,Female,White,Canada,Canada,Canada,French,No,Unemployed (and job seeking)
66a7b018e7d5b7584d974058,654505552ee0cd0f4aa3974e,APPROVED,Not Applicable,2024-07-29T15:08:19.525000Z,2024-07-29T15:21:03.027000Z,2024-07-29T15:21:04.136000Z,2024-07-29T15:21:04.011207Z,764.0,CDDT2OUD,182,French,34,Female,Black,France,France,France,French,Yes,Other
66a7b01d3b9c406d876e5252,669d22cc6cbe3941fdf1fe5f,APPROVED,Not Applicable,2024-07-29T15:09:32.769000Z,2024-07-29T15:23:46.907000Z,2024-07-29T15:23:47.823000Z,2024-07-29T15:23:47.747219Z,855.0,CDDT2OUD,1,French,21,Male,White,Switzerland,Switzerland,Switzerland,French,Yes,DATA_EXPIRED
66a7b02a90a6fc890ae05f15,6169eac611e586f87632d495,APPROVED,Not Applicable,2024-07-29T15:07:22.808000Z,2024-07-29T15:24:58.680000Z,2024-07-29T15:27:35.183000Z,2024-07-29T15:27:33.313058Z,1056.0,CDDT2OUD,391,"English, French, Afrikaans",22,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
66a7b02fc6ce6ca98e2b95d1,65f37fc729c84befb001836b,APPROVED,Not Applicable,2024-07-29T15:07:59.929000Z,2024-07-29T15:19:59.789000Z,2024-07-29T15:20:00.619000Z,2024-07-29T15:20:00.536201Z,720.0,CDDT2OUD,34,French,47,Male,White,Belgium,Belgium,Belgium,French,No,Full-Time
66a7b032c14fd357748c83ff,66014dc12156ce41e139a501,APPROVED,Not Applicable,2024-07-29T15:07:49.371000Z,2024-07-29T15:18:50.902000Z,2024-07-29T15:18:51.731000Z,2024-07-29T15:18:51.636472Z,662.0,CDDT2OUD,34,French,46,Male,White,France,France,France,French,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66a7b05f5222652416950397,6672e4341b7762c9fbb5ef10,APPROVED,Not Applicable,2024-07-29T15:09:23.294000Z,2024-07-29T15:19:39.442000Z,2024-07-29T15:19:40.448000Z,2024-07-29T15:19:40.231932Z,617.0,CDDT2OUD,22,French,45,Male,White,France,France,France,French,No,Full-Time
66a7b07cc36ee04b43fe6ebb,667eb4c61f5d4397face4667,APPROVED,Not Applicable,2024-07-29T15:08:49.390000Z,2024-07-29T15:24:32.279000Z,2024-07-29T15:24:32.891000Z,2024-07-29T15:24:32.755691Z,943.0,CDDT2OUD,31,"English, French",24,Female,White,France,France,France,French,Yes,Full-Time
66a7b083d0c442d3069fb31a,668e91cbd1f4aa503154e04b,APPROVED,Not Applicable,2024-07-29T15:08:59.281000Z,2024-07-29T15:26:24.693000Z,2024-07-29T15:28:47.340000Z,2024-07-29T15:28:13.871448Z,1046.0,CDDT2OUD,16,"English, French, Spanish, Portuguese, Afrikaans",30,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
66a7b0af94322ff5739cd388,5f086edf1a4e890792a6c0b0,APPROVED,Not Applicable,2024-07-29T15:09:57.580000Z,2024-07-29T15:21:58.977000Z,2024-07-29T15:22:01.221000Z,2024-07-29T15:21:59.564404Z,722.0,CDDT2OUD,1000,"French, English",52,Female,White,France,France,France,French,No,DATA_EXPIRED
66a7b0b53b141bfd2ce0d2d2,66741b5b935b32b9cc3b347b,APPROVED,Not Applicable,2024-07-29T15:09:48.009000Z,2024-07-29T15:38:35.968000Z,2024-07-29T15:40:45.205000Z,2024-07-29T15:40:36.941988Z,1728.0,CDDT2OUD,7,French,45,Female,White,France,France,France,French,No,Unemployed (and job seeking)
