Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66a7fd42aff3fb550c059756,6596b1e423648f298651e40f,APPROVED,Not Applicable,2024-07-29T20:36:18.574000Z,2024-07-29T20:48:04.306000Z,2024-07-29T20:50:38.488000Z,2024-07-29T20:50:36.286965Z,706.0,CDDT2OUD,174,"English, French, Spanish",21,Male,Other,Ecuador,France,Spain,English,Yes,Unemployed (and job seeking)
66a7fd49bf9ae54d11274a0e,668560a1b3281aaf0385caa7,APPROVED,Not Applicable,2024-07-29T20:37:57.401000Z,2024-07-29T21:06:21.187000Z,2024-08-08T09:36:12.997000Z,2024-07-29T21:07:55.424335Z,1704.0,CDD2OUD,28,"Afrikaans, English, French, German",20,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
66a7fd4b669c0f68c4dc1458,65a9960546a9cf88428c5bd3,APPROVED,Not Applicable,2024-07-29T20:36:44.586000Z,2024-07-29T20:49:17.294000Z,2024-07-29T20:51:05.687000Z,2024-07-29T20:50:54.419771Z,753.0,CDDT2OUD,107,French,50,Male,White,France,France,France,French,DATA_EXPIRED,DATA_EXPIRED
66a7fd6d5e16365351539972,660efcf5c6e6410759dc2720,APPROVED,Not Applicable,2024-07-29T20:37:09.282000Z,2024-07-29T20:52:43.722000Z,2024-07-29T20:53:57.464000Z,2024-07-29T20:52:51.440915Z,935.0,CDDT2OUD,75,French,50,Female,White,Algeria,Canada,Canada,French,No,DATA_EXPIRED
66a7fd724fbf2a6d584bbbed,647351e3ebf1c84941c62cd6,APPROVED,Not Applicable,2024-07-29T20:37:12.968000Z,2024-07-29T20:50:58.207000Z,2024-07-29T20:53:40.058000Z,2024-07-29T20:51:34.661319Z,826.0,CDDT2OUD,279,"French, English",29,Female,White,France,France,France,French,No,Full-Time
66a7fd737a3e366a7a875998,667d6339e59d6bca64045b94,APPROVED,Not Applicable,2024-07-29T20:37:13.436000Z,2024-07-29T20:48:36.290000Z,2024-07-29T20:50:47.651000Z,2024-07-29T20:50:45.046755Z,683.0,CDDT2OUD,18,"French, English",27,Female,White,Canada,Canada,Canada,French,No,Full-Time
66a7fd74182333adb97638e7,65070b2afeed61cab541acaa,APPROVED,Not Applicable,2024-07-29T20:37:08.766000Z,2024-07-29T20:48:17.587000Z,2024-07-29T20:50:41.444000Z,2024-07-29T20:50:39.934516Z,669.0,CDDT2OUD,329,"English, French",28,Female,White,France,France,France,French,No,Full-Time
66a7fe4a4a00a9eacbaa376a,6671932f4fd88121d7a200df,APPROVED,Not Applicable,2024-07-29T20:40:42.566000Z,2024-07-29T20:52:01.250000Z,2024-07-29T20:53:48.057000Z,2024-07-29T20:52:02.024159Z,679.0,CDDT2OUD,35,"Chinese, English, German, French, Spanish",21,Female,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking)
66a7ffe0df7c9c2232a9890d,6470e501cc85b0287c8da951,APPROVED,Not Applicable,2024-07-29T20:47:35.186000Z,2024-07-29T20:58:00.988000Z,2024-07-29T20:58:01.771000Z,2024-07-29T20:58:01.666805Z,626.0,CDDT2OUD,278,French,24,Female,White,France,France,France,French,Yes,Full-Time
66a8001db4d2669487fd6aa3,667e8928dd8196d53dd5abab,APPROVED,Not Applicable,2024-07-29T20:48:34.168000Z,2024-07-29T21:13:43.005000Z,2024-07-29T21:13:43.642000Z,2024-07-29T21:13:43.569340Z,1509.0,CDDT2OUD,167,"English, French",51,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time
66a800295cc6224cbb4b02c3,6504602a870c824d03739550,APPROVED,Not Applicable,2024-07-29T20:48:57.757000Z,2024-07-29T21:21:46.961000Z,2024-07-29T21:23:45.645000Z,2024-07-29T21:23:44.073345Z,1970.0,CDDT2OUD,141,"Bulgarian, English, French",30,Female,Other,United States,United Kingdom,United States,Bulgarian,DATA_EXPIRED,DATA_EXPIRED
66a8002bf3eb8d64eebe2ead,6696710d861b1ffe8903f6ec,APPROVED,Not Applicable,2024-07-29T20:48:51.451000Z,2024-07-29T21:01:37.618000Z,2024-07-29T21:01:38.354000Z,2024-07-29T21:01:38.445479Z,767.0,CDDT2OUD,14,French,31,Female,White,France,France,France,French,No,Part-Time
66a8005f3f811be7ff6bb67b,66967693c26744e18f260d47,APPROVED,Not Applicable,2024-07-29T20:49:51.586000Z,2024-07-29T21:00:30.832000Z,2024-07-29T21:00:41.826000Z,2024-07-29T21:01:05.711460Z,640.0,CDDT2OUD,24,French,28,Male,White,France,France,France,French,No,Full-Time
66a800bf8769e5ad6d6cc0ef,66793d8ecb98252731369846,APPROVED,Not Applicable,2024-07-29T20:51:42.385000Z,2024-07-29T21:19:40.018000Z,2024-07-29T21:19:40.748000Z,2024-07-29T21:19:40.656662Z,1678.0,CDDT2OUD,45,"French, English, Other",37,Female,Black,Haiti,France,Haiti,French,No,Full-Time
66a80106fce2033157c89e64,6533e2b5e9ab7a074c52fdf4,APPROVED,Not Applicable,2024-07-29T20:52:31.487000Z,2024-07-29T21:03:40.706000Z,2024-07-29T21:03:41.293000Z,2024-07-29T21:03:42.871239Z,670.0,CDDT2OUD,392,"English, French",35,Female,White,Canada,Canada,Canada,English,No,Full-Time
66b49b2e454ca5ce3d4d73e6,66460afde523cb562c7163ff,APPROVED,Not Applicable,2024-08-08T10:17:18.175000Z,2024-08-08T10:46:31.152000Z,2024-08-08T10:46:31.933000Z,2024-08-08T10:46:31.882765Z,1753.0,CDDT2OUD,85,French,27,Male,White,France,France,France,French,No,Full-Time
66a7d501838d2dea732fa88e,66756b98b57dc3e151a38741,RETURNED,Not Applicable,2024-07-29T17:44:45.101000Z,,,,,,40,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7d52e52d8d21996dd1a94,6672d8b22f259745b475824a,RETURNED,Not Applicable,2024-07-29T17:45:27.750000Z,,,,,,38,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7d8a41c992aac3ae89fb2,663b7954a201d66b97736e2a,REJECTED,Not Applicable,2024-07-29T18:01:29.774000Z,2024-07-29T18:02:40.031000Z,2024-07-29T18:19:50.820000Z,2024-07-29T18:03:10.878000Z,71.0,NOCODE,8,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7d94500c77c92f5e77319,65a9777788c92965fdac9b68,RETURNED,Not Applicable,2024-07-29T18:03:02.401000Z,,,,,,274,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7d9ec7912f52eacee2ccc,65b1334f0523e89de65a3e40,RETURNED,Not Applicable,2024-07-29T18:05:32.829000Z,,,,,,42,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7dd64687ce64e141f561c,60ca1c436511b9fc8ab35615,RETURNED,Not Applicable,2024-07-29T18:23:14.347000Z,,,,,,1309,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7dfee8e20acbde47f4a38,66782c615a82213b5a468744,TIMED-OUT,Not Applicable,2024-07-29T18:31:22.010000Z,,,,5492243.0,,177,"English, French",30,Female,Black,Senegal,Canada,Canada,English,No,Full-Time
66a7e278193adc1607c162c3,6693d928e76d32ccf07fbf78,RETURNED,Not Applicable,2024-07-29T18:42:26.513000Z,,,,,,51,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7e3aaf0099e9c5f43e589,668c2b1e52d7d46f59a0e919,RETURNED,Not Applicable,2024-07-29T18:50:05.374000Z,,,,,,89,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7e5078e4d72abef06677b,664e2bcd8427c10022c3404b,RETURNED,Not Applicable,2024-07-29T18:53:23.124000Z,,,,,,63,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7e6d164eb1c143228f7cf,5c01bf7d4c14cf00019ce2a4,RETURNED,Not Applicable,2024-07-29T19:00:33.773000Z,,,,,,1391,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7e9b52f22f7d0d7d9fce3,6638d846ed355b7ec3bd43d7,APPROVED,Not Applicable,2024-07-29T19:13:04.613000Z,2024-07-29T20:00:22.139000Z,2024-08-09T10:27:26.871000Z,2024-07-29T20:00:30.954000Z,2838.0,NOCODE,227,"English, French",30,Male,White,Nigeria,United Kingdom,United Kingdom,English,Yes,Part-Time
66a7fd627ef67ad6e681b057,65b3d0824dabc426fbacd601,RETURNED,Not Applicable,2024-07-29T20:36:50.795000Z,,,,,,230,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7fd643e11b675642cda91,65f192f1d0bb4753fc6d011a,RETURNED,Not Applicable,2024-07-29T20:47:23.276000Z,,,,,,89,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
