,Unnamed: 0,SpeakerDyad,ListenerDyad,SpeakerExtract,ListenerExtract,SpeakerID,ListenerID,VideoPath,AudioPath,Condition,Modality,SpeakerSex,Duration,DisplayedDyad
151,455,2,3,4,3,F1,M1,./stim/processed_extracts/fake_ad/1\2_4_3_3_vva.mov,./stim/processed_extracts/audio/1/2_4_3_3_audio.wav,fake_ad,vva,F,10,1
154,464,3,7,5,4,M1,F3,./stim/processed_extracts/fake_ad/6\3_5_7_4_vva.mov,./stim/processed_extracts/audio/6/3_5_7_4_audio.wav,fake_ad,vva,M,6,6
164,494,20,17,2,1,M5,F5,./stim/processed_extracts/fake_ad/18\17_1_20_2_vva.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,fake_ad,vva,M,9,18
162,488,4,14,2,4,M2,F3,./stim/processed_extracts/fake_ad/15\4_2_14_4_vva.mov,./stim/processed_extracts/audio/15/4_2_14_4_audio.wav,fake_ad,vva,M,9,15
169,509,26,21,3,1,M8,F5,./stim/processed_extracts/fake_ad/24\21_1_26_3_vva.mov,./stim/processed_extracts/audio/24/21_1_26_3_audio.wav,fake_ad,vva,M,8,24
159,479,6,11,6,4,M1,F4,./stim/processed_extracts/fake_ad/12\6_6_11_4_vva.mov,./stim/processed_extracts/audio/12/6_6_11_4_audio.wav,fake_ad,vva,M,11,12
190,572,58,52,4,1,M15,F12,./stim/processed_extracts/fake_ad/49\52_1_58_4_vva.mov,./stim/processed_extracts/audio/49/52_1_58_4_audio.wav,fake_ad,vva,M,7,49
198,596,60,57,3,2,M16,F14,./stim/processed_extracts/fake_ad/59\57_2_60_3_vva.mov,./stim/processed_extracts/audio/59/57_2_60_3_audio.wav,fake_ad,vva,M,11,59
178,536,31,33,4,2,M10,F11,./stim/processed_extracts/fake_ad/37\31_4_33_2_vva.mov,./stim/processed_extracts/audio/37/31_4_33_2_audio.wav,fake_ad,vva,M,7,37
196,590,49,51,4,2,M15,F14,./stim/processed_extracts/fake_ad/57\49_4_51_2_vva.mov,./stim/processed_extracts/audio/57/49_4_51_2_audio.wav,fake_ad,vva,M,7,57
168,506,22,18,1,5,F7,M5,./stim/processed_extracts/fake_ad/23\18_5_22_1_vva.mov,./stim/processed_extracts/audio/23/18_5_22_1_audio.wav,fake_ad,vva,F,6,23
175,527,34,37,3,5,M9,F11,./stim/processed_extracts/fake_ad/33\34_3_37_5_vva.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,fake_ad,vva,M,10,33
156,470,10,13,2,5,M4,F4,./stim/processed_extracts/fake_ad/8\10_2_13_5_vva.mov,./stim/processed_extracts/audio/8/10_2_13_5_audio.wav,fake_ad,vva,M,7,8
187,563,45,48,5,1,F12,M14,./stim/processed_extracts/fake_ad/46\45_5_48_1_vva.mov,./stim/processed_extracts/audio/46/45_5_48_1_audio.wav,fake_ad,vva,F,8,46
197,593,49,60,6,7,M15,F15,./stim/processed_extracts/fake_ad/58\49_6_60_7_vva.mov,./stim/processed_extracts/audio/58/49_6_60_7_audio.wav,fake_ad,vva,M,17,58
179,539,39,36,2,2,M12,F8,./stim/processed_extracts/fake_ad/38\36_2_39_2_vva.mov,./stim/processed_extracts/audio/38/36_2_39_2_audio.wav,fake_ad,vva,M,8,38
100,302,1,1,1,2,M1,F1,./stim/processed_extracts/fake/1\1_2_vva.mov,./stim/processed_extracts/audio/1/1_2_audio.wav,fake_wd,vva,M,17,1
107,323,6,6,5,4,F3,M1,./stim/processed_extracts/fake/6\4_5_vva.mov,./stim/processed_extracts/audio/6/4_5_audio.wav,fake_wd,vva,F,10,6
119,359,18,18,1,3,F5,M5,./stim/processed_extracts/fake/18\1_3_vva.mov,./stim/processed_extracts/audio/18/1_3_audio.wav,fake_wd,vva,F,9,18
117,353,15,15,5,3,M2,F3,./stim/processed_extracts/fake/15\3_5_vva.mov,./stim/processed_extracts/audio/15/3_5_audio.wav,fake_wd,vva,M,17,15
121,365,24,24,2,1,M8,F5,./stim/processed_extracts/fake/24\1_2_vva.mov,./stim/processed_extracts/audio/24/1_2_audio.wav,fake_wd,vva,M,7,24
114,344,12,12,5,2,F4,M1,./stim/processed_extracts/fake/12\2_5_vva.mov,./stim/processed_extracts/audio/12/2_5_audio.wav,fake_wd,vva,F,7,12
142,428,49,49,2,5,M15,F12,./stim/processed_extracts/fake/49\2_5_vva.mov,./stim/processed_extracts/audio/49/2_5_audio.wav,fake_wd,vva,M,9,49
132,398,37,37,6,2,M10,F11,./stim/processed_extracts/fake/37\2_6_vva.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,fake_wd,vva,M,12,37
109,329,8,8,4,5,F4,M4,./stim/processed_extracts/fake/8\4_5_vva.mov,./stim/processed_extracts/audio/8/4_5_audio.wav,fake_wd,vva,F,9,8
149,449,58,58,1,2,M15,F15,./stim/processed_extracts/fake/58\1_2_vva.mov,./stim/processed_extracts/audio/58/1_2_audio.wav,fake_wd,vva,M,14,58
133,401,38,38,3,5,F8,M12,./stim/processed_extracts/fake/38\3_5_vva.mov,./stim/processed_extracts/audio/38/3_5_audio.wav,fake_wd,vva,F,9,38
148,446,56,56,2,3,F13,M16,./stim/processed_extracts/fake/56\2_3_vva.mov,./stim/processed_extracts/audio/56/2_3_audio.wav,fake_wd,vva,F,11,56
102,308,3,3,1,6,M1,F2,./stim/processed_extracts/fake/3\1_6_vva.mov,./stim/processed_extracts/audio/3/1_6_audio.wav,fake_wd,vva,M,7,3
137,413,43,43,3,7,F10,M11,./stim/processed_extracts/fake/43\3_7_vva.mov,./stim/processed_extracts/audio/43/3_7_audio.wav,fake_wd,vva,F,11,43
106,320,5,5,3,4,F1,M3,./stim/processed_extracts/fake/5\3_4_vva.mov,./stim/processed_extracts/audio/5/3_4_audio.wav,fake_wd,vva,F,15,5
120,362,19,19,2,5,M6,F6,./stim/processed_extracts/fake/19\2_5_vva.mov,./stim/processed_extracts/audio/19/2_5_audio.wav,fake_wd,vva,M,8,19
141,425,48,48,4,3,F13,M14,./stim/processed_extracts/fake/48\3_4_vva.mov,./stim/processed_extracts/audio/48/3_4_audio.wav,fake_wd,vva,F,10,48
0,2,1,1,3,3,F1,M1,./stim/processed_extracts/true/1\3_vva.mov,./stim/processed_extracts/audio/1/3_audio.wav,TRUE,vva,F,26,1
9,29,6,6,3,3,M1,F3,./stim/processed_extracts/true/6\3_vva.mov,./stim/processed_extracts/audio/6/3_audio.wav,TRUE,vva,M,23,6
28,86,18,18,4,4,M5,F5,./stim/processed_extracts/true/18\4_vva.mov,./stim/processed_extracts/audio/18/4_audio.wav,TRUE,vva,M,9,18
25,77,15,15,2,2,M2,F3,./stim/processed_extracts/true/15\2_vva.mov,./stim/processed_extracts/audio/15/2_audio.wav,TRUE,vva,M,13,15
37,113,24,24,4,4,F5,M8,./stim/processed_extracts/true/24\4_vva.mov,./stim/processed_extracts/audio/24/4_audio.wav,TRUE,vva,F,8,24
19,59,12,12,3,3,F4,M1,./stim/processed_extracts/true/12\3_vva.mov,./stim/processed_extracts/audio/12/3_audio.wav,TRUE,vva,F,13,12
79,239,49,49,1,1,F12,M15,./stim/processed_extracts/true/49\1_vva.mov,./stim/processed_extracts/audio/49/1_audio.wav,TRUE,vva,F,9,49
97,293,59,59,3,3,M16,F14,./stim/processed_extracts/true/59\3_vva.mov,./stim/processed_extracts/audio/59/3_audio.wav,TRUE,vva,M,10,59
58,176,37,37,1,1,F11,M10,./stim/processed_extracts/true/37\1_vva.mov,./stim/processed_extracts/audio/37/1_audio.wav,TRUE,vva,F,6,37
93,281,57,57,3,3,M15,F14,./stim/processed_extracts/true/57\3_vva.mov,./stim/processed_extracts/audio/57/3_audio.wav,TRUE,vva,M,13,57
34,104,23,23,1,1,M5,F7,./stim/processed_extracts/true/23\1_vva.mov,./stim/processed_extracts/audio/23/1_audio.wav,TRUE,vva,M,9,23
11,35,8,8,1,1,M4,F4,./stim/processed_extracts/true/8\1_vva.mov,./stim/processed_extracts/audio/8/1_audio.wav,TRUE,vva,M,7,8
74,224,46,46,2,2,F12,M14,./stim/processed_extracts/true/46\2_vva.mov,./stim/processed_extracts/audio/46/2_audio.wav,TRUE,vva,F,8,46
94,284,58,58,3,3,F15,M15,./stim/processed_extracts/true/58\3_vva.mov,./stim/processed_extracts/audio/58/3_audio.wav,TRUE,vva,F,9,58
60,182,38,38,4,4,M12,F8,./stim/processed_extracts/true/38\4_vva.mov,./stim/processed_extracts/audio/38/4_audio.wav,TRUE,vva,M,16,38
64,194,40,40,2,2,F10,M10,./stim/processed_extracts/true/40\2_vva.mov,./stim/processed_extracts/audio/40/2_audio.wav,TRUE,vva,F,12,40
2,8,3,3,2,2,F2,M1,./stim/processed_extracts/true/3\2_vva.mov,./stim/processed_extracts/audio/3/2_audio.wav,TRUE,vva,F,15,3
49,149,31,31,8,8,M10,F8,./stim/processed_extracts/true/31\8_vva.mov,./stim/processed_extracts/audio/31/8_audio.wav,TRUE,vva,M,10,31
5,17,4,4,7,7,F2,M2,./stim/processed_extracts/true/4\7_vva.mov,./stim/processed_extracts/audio/4/7_audio.wav,TRUE,vva,F,19,4
30,92,19,19,4,4,F6,M6,./stim/processed_extracts/true/19\4_vva.mov,./stim/processed_extracts/audio/19/4_audio.wav,TRUE,vva,F,10,19
4,14,4,4,4,4,M2,F2,./stim/processed_extracts/true/4\4_vva.mov,./stim/processed_extracts/audio/4/4_audio.wav,TRUE,vva,M,7,4
62,188,39,39,3,3,M12,F9,./stim/processed_extracts/true/39\3_vva.mov,./stim/processed_extracts/audio/39/3_audio.wav,TRUE,vva,M,10,39
82,248,52,52,2,2,F12,M16,./stim/processed_extracts/true/52\2_vva.mov,./stim/processed_extracts/audio/52/2_audio.wav,TRUE,vva,F,10,52
50,152,32,32,1,1,M10,F9,./stim/processed_extracts/true/32\1_vva.mov,./stim/processed_extracts/audio/32/1_audio.wav,TRUE,vva,M,14,32
83,251,52,52,3,3,M16,F12,./stim/processed_extracts/true/52\3_vva.mov,./stim/processed_extracts/audio/52/3_audio.wav,TRUE,vva,M,10,52
61,185,39,39,1,1,M12,F9,./stim/processed_extracts/true/39\1_vva.mov,./stim/processed_extracts/audio/39/1_audio.wav,TRUE,vva,M,7,39
42,128,27,27,3,3,M7,F7,./stim/processed_extracts/true/27\3_vva.mov,./stim/processed_extracts/audio/27/3_audio.wav,TRUE,vva,M,11,27
7,23,5,5,2,2,M3,F1,./stim/processed_extracts/true/5\2_vva.mov,./stim/processed_extracts/audio/5/2_audio.wav,TRUE,vva,M,15,5
80,242,50,50,1,1,F14,M13,./stim/processed_extracts/true/50\1_vva.mov,./stim/processed_extracts/audio/50/1_audio.wav,TRUE,vva,F,8,50
32,98,21,21,3,3,F5,M7,./stim/processed_extracts/true/21\3_vva.mov,./stim/processed_extracts/audio/21/3_audio.wav,TRUE,vva,F,13,21
75,227,47,47,3,3,F13,M13,./stim/processed_extracts/true/47\3_vva.mov,./stim/processed_extracts/audio/47/3_audio.wav,TRUE,vva,F,9,47
63,191,40,40,1,1,M10,F10,./stim/processed_extracts/true/40\1_vva.mov,./stim/processed_extracts/audio/40/1_audio.wav,TRUE,vva,M,7,40
18,56,12,12,1,1,M1,F4,./stim/processed_extracts/true/12\1_vva.mov,./stim/processed_extracts/audio/12/1_audio.wav,TRUE,vva,M,8,12
