,index,Date,Subject,Age,Sex,TrialNumber,BlockNumber,Block,VideoPath,AudioPath,SpeakerID,ListenerID,SpeakerDyad,ListenerDyad,SpeakerExtract,ListenerExtract,Condition,SpeakerSex,Duration,CorrectResp,Resp,LikertResp,Accuracy,DisplayedDyad,listener_au,model_performance
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU12,-0.0350835145838678
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU14,0.14010971806639502
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU15,-0.0034283522947719343
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU17,0.19625243995851666
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU23,0.4404698762573481
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU24,0.1612072468690499
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU25,0.07470311894849437
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU26,0.3799090434170122
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU28,0.19858572835460586
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,AU43,0.2484896113807156
0,132,24:14.5,1,25,m,1,3,va,./stim/processed_extracts/true/31\8_va.mov,./stim/processed_extracts/audio/31/8_audio.wav,M10,F8,31,31,8,8,true,M,10,g,g,2,True,31,Pitch,0.09656586746910635
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU12,0.4493931890343572
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU14,0.5990489713582702
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU15,-0.06102076959237091
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU17,0.1961808414650015
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU23,-0.2371282106299806
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU24,0.17105961027670574
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU25,0.32391981125087804
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU26,0.043630001202539945
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU28,-0.1530776455530882
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,AU43,-0.3605497842460219
1,133,24:14.5,1,25,m,2,3,va,./stim/processed_extracts/fake/7\1_2_va.mov,./stim/processed_extracts/audio/7/1_2_audio.wav,M4,F3,7,7,1,2,fake,M,8,h,h,3,True,7,Pitch,-0.0032062808105188384
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU12,-0.09770182712084777
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU14,0.47732543219640405
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU15,-0.012836060425249624
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU17,0.27354584745925087
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU23,-0.1671489959425894
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU24,0.007322864401919029
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU25,0.23781993263879295
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU26,-0.007813035477601435
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU28,0.12039138190496328
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,AU43,0.3318434202200618
2,134,24:14.5,1,25,m,3,3,va,./stim/processed_extracts/true/5\1_va.mov,./stim/processed_extracts/audio/5/1_audio.wav,F1,M3,5,5,1,1,true,F,19,g,g,2,True,5,Pitch,0.07845274576903405
3,135,24:14.5,1,25,m,4,3,va,./stim/processed_extracts/true/54\5_va.mov,./stim/processed_extracts/audio/54/5_audio.wav,F15,M13,54,54,5,5,true,F,8,g,h,3,False,54,AU12,-0.4427514498303142
3,135,24:14.5,1,25,m,4,3,va,./stim/processed_extracts/true/54\5_va.mov,./stim/processed_extracts/audio/54/5_audio.wav,F15,M13,54,54,5,5,true,F,8,g,h,3,False,54,AU14,-0.32456921664782873
3,135,24:14.5,1,25,m,4,3,va,./stim/processed_extracts/true/54\5_va.mov,./stim/processed_extracts/audio/54/5_audio.wav,F15,M13,54,54,5,5,true,F,8,g,h,3,False,54,AU15,0.2814121614023241
3,135,24:14.5,1,25,m,4,3,va,./stim/processed_extracts/true/54\5_va.mov,./stim/processed_extracts/audio/54/5_audio.wav,F15,M13,54,54,5,5,true,F,8,g,h,3,False,54,AU17,-0.32661461878708875
3,135,24:14.5,1,25,m,4,3,va,./stim/processed_extracts/true/54\5_va.mov,./stim/processed_extracts/audio/54/5_audio.wav,F15,M13,54,54,5,5,true,F,8,g,h,3,False,54,AU23,-0.15870434974209377
3,135,24:14.5,1,25,m,4,3,va,./stim/processed_extracts/true/54\5_va.mov,./stim/processed_extracts/audio/54/5_audio.wav,F15,M13,54,54,5,5,true,F,8,g,h,3,False,54,AU24,0.058604757708721006
3,135,24:14.5,1,25,m,4,3,va,./stim/processed_extracts/true/54\5_va.mov,./stim/processed_extracts/audio/54/5_audio.wav,F15,M13,54,54,5,5,true,F,8,g,h,3,False,54,AU25,-0.3280444275917061
3,135,24:14.5,1,25,m,4,3,va,./stim/processed_extracts/true/54\5_va.mov,./stim/processed_extracts/audio/54/5_audio.wav,F15,M13,54,54,5,5,true,F,8,g,h,3,False,54,AU26,-0.25384938368053955
3,135,24:14.5,1,25,m,4,3,va,./stim/processed_extracts/true/54\5_va.mov,./stim/processed_extracts/audio/54/5_audio.wav,F15,M13,54,54,5,5,true,F,8,g,h,3,False,54,AU28,-0.13623486605039828
3,135,24:14.5,1,25,m,4,3,va,./stim/processed_extracts/true/54\5_va.mov,./stim/processed_extracts/audio/54/5_audio.wav,F15,M13,54,54,5,5,true,F,8,g,h,3,False,54,AU43,0.010490935664456783
3,135,24:14.5,1,25,m,4,3,va,./stim/processed_extracts/true/54\5_va.mov,./stim/processed_extracts/audio/54/5_audio.wav,F15,M13,54,54,5,5,true,F,8,g,h,3,False,54,Pitch,0.4398748018118796
4,136,24:14.5,1,25,m,5,3,va,./stim/processed_extracts/fake_ad/43\35_4_40_3_va.mov,./stim/processed_extracts/audio/43/35_4_40_3_audio.wav,F10,M11,40,35,3,4,fake,F,13,h,h,3,True,43,AU12,0.08839511779038375
4,136,24:14.5,1,25,m,5,3,va,./stim/processed_extracts/fake_ad/43\35_4_40_3_va.mov,./stim/processed_extracts/audio/43/35_4_40_3_audio.wav,F10,M11,40,35,3,4,fake,F,13,h,h,3,True,43,AU14,-0.2681291751336667
4,136,24:14.5,1,25,m,5,3,va,./stim/processed_extracts/fake_ad/43\35_4_40_3_va.mov,./stim/processed_extracts/audio/43/35_4_40_3_audio.wav,F10,M11,40,35,3,4,fake,F,13,h,h,3,True,43,AU15,-0.19337916738083624
4,136,24:14.5,1,25,m,5,3,va,./stim/processed_extracts/fake_ad/43\35_4_40_3_va.mov,./stim/processed_extracts/audio/43/35_4_40_3_audio.wav,F10,M11,40,35,3,4,fake,F,13,h,h,3,True,43,AU17,-0.01785883012325544
4,136,24:14.5,1,25,m,5,3,va,./stim/processed_extracts/fake_ad/43\35_4_40_3_va.mov,./stim/processed_extracts/audio/43/35_4_40_3_audio.wav,F10,M11,40,35,3,4,fake,F,13,h,h,3,True,43,AU23,0.24750230480580215
4,136,24:14.5,1,25,m,5,3,va,./stim/processed_extracts/fake_ad/43\35_4_40_3_va.mov,./stim/processed_extracts/audio/43/35_4_40_3_audio.wav,F10,M11,40,35,3,4,fake,F,13,h,h,3,True,43,AU24,0.15997756020853682
4,136,24:14.5,1,25,m,5,3,va,./stim/processed_extracts/fake_ad/43\35_4_40_3_va.mov,./stim/processed_extracts/audio/43/35_4_40_3_audio.wav,F10,M11,40,35,3,4,fake,F,13,h,h,3,True,43,AU25,0.008380119602045833
4,136,24:14.5,1,25,m,5,3,va,./stim/processed_extracts/fake_ad/43\35_4_40_3_va.mov,./stim/processed_extracts/audio/43/35_4_40_3_audio.wav,F10,M11,40,35,3,4,fake,F,13,h,h,3,True,43,AU26,0.3244946049234725
4,136,24:14.5,1,25,m,5,3,va,./stim/processed_extracts/fake_ad/43\35_4_40_3_va.mov,./stim/processed_extracts/audio/43/35_4_40_3_audio.wav,F10,M11,40,35,3,4,fake,F,13,h,h,3,True,43,AU28,-0.10894732740309165
4,136,24:14.5,1,25,m,5,3,va,./stim/processed_extracts/fake_ad/43\35_4_40_3_va.mov,./stim/processed_extracts/audio/43/35_4_40_3_audio.wav,F10,M11,40,35,3,4,fake,F,13,h,h,3,True,43,AU43,0.06341727475145276
4,136,24:14.5,1,25,m,5,3,va,./stim/processed_extracts/fake_ad/43\35_4_40_3_va.mov,./stim/processed_extracts/audio/43/35_4_40_3_audio.wav,F10,M11,40,35,3,4,fake,F,13,h,h,3,True,43,Pitch,-0.4489576203674707
5,137,24:14.5,1,25,m,6,3,va,./stim/processed_extracts/fake_ad/18\17_1_20_2_va.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,M5,F5,20,17,2,1,fake,M,9,h,h,4,True,18,AU12,-0.07256436436886668
5,137,24:14.5,1,25,m,6,3,va,./stim/processed_extracts/fake_ad/18\17_1_20_2_va.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,M5,F5,20,17,2,1,fake,M,9,h,h,4,True,18,AU14,-0.0369040676481256
5,137,24:14.5,1,25,m,6,3,va,./stim/processed_extracts/fake_ad/18\17_1_20_2_va.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,M5,F5,20,17,2,1,fake,M,9,h,h,4,True,18,AU15,-0.3702173934166904
5,137,24:14.5,1,25,m,6,3,va,./stim/processed_extracts/fake_ad/18\17_1_20_2_va.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,M5,F5,20,17,2,1,fake,M,9,h,h,4,True,18,AU17,0.023504843582974718
5,137,24:14.5,1,25,m,6,3,va,./stim/processed_extracts/fake_ad/18\17_1_20_2_va.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,M5,F5,20,17,2,1,fake,M,9,h,h,4,True,18,AU23,-0.18791547916532694
5,137,24:14.5,1,25,m,6,3,va,./stim/processed_extracts/fake_ad/18\17_1_20_2_va.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,M5,F5,20,17,2,1,fake,M,9,h,h,4,True,18,AU24,-0.2154835054571873
5,137,24:14.5,1,25,m,6,3,va,./stim/processed_extracts/fake_ad/18\17_1_20_2_va.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,M5,F5,20,17,2,1,fake,M,9,h,h,4,True,18,AU25,0.06218071362023474
5,137,24:14.5,1,25,m,6,3,va,./stim/processed_extracts/fake_ad/18\17_1_20_2_va.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,M5,F5,20,17,2,1,fake,M,9,h,h,4,True,18,AU26,0.26229072793173686
5,137,24:14.5,1,25,m,6,3,va,./stim/processed_extracts/fake_ad/18\17_1_20_2_va.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,M5,F5,20,17,2,1,fake,M,9,h,h,4,True,18,AU28,-0.10447730319700989
5,137,24:14.5,1,25,m,6,3,va,./stim/processed_extracts/fake_ad/18\17_1_20_2_va.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,M5,F5,20,17,2,1,fake,M,9,h,h,4,True,18,AU43,-0.09366720048932053
5,137,24:14.5,1,25,m,6,3,va,./stim/processed_extracts/fake_ad/18\17_1_20_2_va.mov,./stim/processed_extracts/audio/18/17_1_20_2_audio.wav,M5,F5,20,17,2,1,fake,M,9,h,h,4,True,18,Pitch,-0.5669787065893795
6,138,24:14.5,1,25,m,7,3,va,./stim/processed_extracts/fake_ad/33\34_3_37_5_va.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,M9,F11,34,37,3,5,fake,M,10,h,h,4,True,33,AU12,-0.3307481893785863
6,138,24:14.5,1,25,m,7,3,va,./stim/processed_extracts/fake_ad/33\34_3_37_5_va.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,M9,F11,34,37,3,5,fake,M,10,h,h,4,True,33,AU14,-0.34746817957538
6,138,24:14.5,1,25,m,7,3,va,./stim/processed_extracts/fake_ad/33\34_3_37_5_va.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,M9,F11,34,37,3,5,fake,M,10,h,h,4,True,33,AU15,-0.18253536648740307
6,138,24:14.5,1,25,m,7,3,va,./stim/processed_extracts/fake_ad/33\34_3_37_5_va.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,M9,F11,34,37,3,5,fake,M,10,h,h,4,True,33,AU17,-0.3632129082242097
6,138,24:14.5,1,25,m,7,3,va,./stim/processed_extracts/fake_ad/33\34_3_37_5_va.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,M9,F11,34,37,3,5,fake,M,10,h,h,4,True,33,AU23,-0.10497948367011062
6,138,24:14.5,1,25,m,7,3,va,./stim/processed_extracts/fake_ad/33\34_3_37_5_va.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,M9,F11,34,37,3,5,fake,M,10,h,h,4,True,33,AU24,-0.1069320498946649
6,138,24:14.5,1,25,m,7,3,va,./stim/processed_extracts/fake_ad/33\34_3_37_5_va.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,M9,F11,34,37,3,5,fake,M,10,h,h,4,True,33,AU25,-0.5099960446863376
6,138,24:14.5,1,25,m,7,3,va,./stim/processed_extracts/fake_ad/33\34_3_37_5_va.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,M9,F11,34,37,3,5,fake,M,10,h,h,4,True,33,AU26,-0.25553689135924557
6,138,24:14.5,1,25,m,7,3,va,./stim/processed_extracts/fake_ad/33\34_3_37_5_va.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,M9,F11,34,37,3,5,fake,M,10,h,h,4,True,33,AU28,-0.12128860865934858
6,138,24:14.5,1,25,m,7,3,va,./stim/processed_extracts/fake_ad/33\34_3_37_5_va.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,M9,F11,34,37,3,5,fake,M,10,h,h,4,True,33,AU43,-0.08227105790185654
6,138,24:14.5,1,25,m,7,3,va,./stim/processed_extracts/fake_ad/33\34_3_37_5_va.mov,./stim/processed_extracts/audio/33/34_3_37_5_audio.wav,M9,F11,34,37,3,5,fake,M,10,h,h,4,True,33,Pitch,-0.2238511035245782
7,139,24:14.5,1,25,m,8,3,va,./stim/processed_extracts/fake_ad/51\50_2_55_5_va.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,M14,F14,55,50,5,2,fake,M,14,h,h,4,True,51,AU12,0.3093847594585908
7,139,24:14.5,1,25,m,8,3,va,./stim/processed_extracts/fake_ad/51\50_2_55_5_va.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,M14,F14,55,50,5,2,fake,M,14,h,h,4,True,51,AU14,0.25205886268647365
7,139,24:14.5,1,25,m,8,3,va,./stim/processed_extracts/fake_ad/51\50_2_55_5_va.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,M14,F14,55,50,5,2,fake,M,14,h,h,4,True,51,AU15,-0.3041028514555307
7,139,24:14.5,1,25,m,8,3,va,./stim/processed_extracts/fake_ad/51\50_2_55_5_va.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,M14,F14,55,50,5,2,fake,M,14,h,h,4,True,51,AU17,0.057554194858318135
7,139,24:14.5,1,25,m,8,3,va,./stim/processed_extracts/fake_ad/51\50_2_55_5_va.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,M14,F14,55,50,5,2,fake,M,14,h,h,4,True,51,AU23,0.05426133778574344
7,139,24:14.5,1,25,m,8,3,va,./stim/processed_extracts/fake_ad/51\50_2_55_5_va.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,M14,F14,55,50,5,2,fake,M,14,h,h,4,True,51,AU24,-0.11437229596419007
7,139,24:14.5,1,25,m,8,3,va,./stim/processed_extracts/fake_ad/51\50_2_55_5_va.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,M14,F14,55,50,5,2,fake,M,14,h,h,4,True,51,AU25,0.2826964425856367
7,139,24:14.5,1,25,m,8,3,va,./stim/processed_extracts/fake_ad/51\50_2_55_5_va.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,M14,F14,55,50,5,2,fake,M,14,h,h,4,True,51,AU26,-0.31331160312005285
7,139,24:14.5,1,25,m,8,3,va,./stim/processed_extracts/fake_ad/51\50_2_55_5_va.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,M14,F14,55,50,5,2,fake,M,14,h,h,4,True,51,AU28,-0.18214040764668973
7,139,24:14.5,1,25,m,8,3,va,./stim/processed_extracts/fake_ad/51\50_2_55_5_va.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,M14,F14,55,50,5,2,fake,M,14,h,h,4,True,51,AU43,-0.227374620329234
7,139,24:14.5,1,25,m,8,3,va,./stim/processed_extracts/fake_ad/51\50_2_55_5_va.mov,./stim/processed_extracts/audio/51/50_2_55_5_audio.wav,M14,F14,55,50,5,2,fake,M,14,h,h,4,True,51,Pitch,-0.14097132542375504
8,140,24:14.5,1,25,m,9,3,va,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,M10,F11,37,37,6,2,fake,M,12,h,g,2,False,37,AU12,-0.5447173688753896
8,140,24:14.5,1,25,m,9,3,va,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,M10,F11,37,37,6,2,fake,M,12,h,g,2,False,37,AU14,-0.19646102531908066
8,140,24:14.5,1,25,m,9,3,va,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,M10,F11,37,37,6,2,fake,M,12,h,g,2,False,37,AU15,-0.5638806951028164
8,140,24:14.5,1,25,m,9,3,va,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,M10,F11,37,37,6,2,fake,M,12,h,g,2,False,37,AU17,-0.6449635392152505
8,140,24:14.5,1,25,m,9,3,va,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,M10,F11,37,37,6,2,fake,M,12,h,g,2,False,37,AU23,-0.29305519862680174
8,140,24:14.5,1,25,m,9,3,va,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,M10,F11,37,37,6,2,fake,M,12,h,g,2,False,37,AU24,-0.09390594409999418
8,140,24:14.5,1,25,m,9,3,va,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,M10,F11,37,37,6,2,fake,M,12,h,g,2,False,37,AU25,-0.5257284542407615
8,140,24:14.5,1,25,m,9,3,va,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,M10,F11,37,37,6,2,fake,M,12,h,g,2,False,37,AU26,-0.010713864275636375
8,140,24:14.5,1,25,m,9,3,va,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,M10,F11,37,37,6,2,fake,M,12,h,g,2,False,37,AU28,0.2940629370052838
8,140,24:14.5,1,25,m,9,3,va,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,M10,F11,37,37,6,2,fake,M,12,h,g,2,False,37,AU43,-0.2776791475091929
8,140,24:14.5,1,25,m,9,3,va,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,M10,F11,37,37,6,2,fake,M,12,h,g,2,False,37,Pitch,-0.5851002714007745
9,141,24:14.5,1,25,m,10,3,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,true,M,7,g,g,3,True,19,AU12,0.08434678661231063
9,141,24:14.5,1,25,m,10,3,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,true,M,7,g,g,3,True,19,AU14,0.003488963445176131
9,141,24:14.5,1,25,m,10,3,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,true,M,7,g,g,3,True,19,AU15,0.24647206920374823
9,141,24:14.5,1,25,m,10,3,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,true,M,7,g,g,3,True,19,AU17,-0.14612142566744074
9,141,24:14.5,1,25,m,10,3,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,true,M,7,g,g,3,True,19,AU23,0.07313589270022117
9,141,24:14.5,1,25,m,10,3,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,true,M,7,g,g,3,True,19,AU24,-0.25700739143985757
9,141,24:14.5,1,25,m,10,3,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,true,M,7,g,g,3,True,19,AU25,0.2921761997862149
9,141,24:14.5,1,25,m,10,3,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,true,M,7,g,g,3,True,19,AU26,-0.06666127882980262
9,141,24:14.5,1,25,m,10,3,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,true,M,7,g,g,3,True,19,AU28,0.09177582708474295
9,141,24:14.5,1,25,m,10,3,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,true,M,7,g,g,3,True,19,AU43,0.20446302249544432
9,141,24:14.5,1,25,m,10,3,va,./stim/processed_extracts/true/19\1_va.mov,./stim/processed_extracts/audio/19/1_audio.wav,M6,F6,19,19,1,1,true,M,7,g,g,3,True,19,Pitch,0.45735146825860196
10,142,24:14.5,1,25,m,11,3,va,./stim/processed_extracts/fake_ad/34\33_1_40_6_va.mov,./stim/processed_extracts/audio/34/33_1_40_6_audio.wav,M9,F10,33,40,1,6,fake,M,9,h,h,4,True,34,AU12,0.09685055380013935
10,142,24:14.5,1,25,m,11,3,va,./stim/processed_extracts/fake_ad/34\33_1_40_6_va.mov,./stim/processed_extracts/audio/34/33_1_40_6_audio.wav,M9,F10,33,40,1,6,fake,M,9,h,h,4,True,34,AU14,-0.08558458088497092
10,142,24:14.5,1,25,m,11,3,va,./stim/processed_extracts/fake_ad/34\33_1_40_6_va.mov,./stim/processed_extracts/audio/34/33_1_40_6_audio.wav,M9,F10,33,40,1,6,fake,M,9,h,h,4,True,34,AU15,-0.08847770149836733
10,142,24:14.5,1,25,m,11,3,va,./stim/processed_extracts/fake_ad/34\33_1_40_6_va.mov,./stim/processed_extracts/audio/34/33_1_40_6_audio.wav,M9,F10,33,40,1,6,fake,M,9,h,h,4,True,34,AU17,-0.36539250567676723
10,142,24:14.5,1,25,m,11,3,va,./stim/processed_extracts/fake_ad/34\33_1_40_6_va.mov,./stim/processed_extracts/audio/34/33_1_40_6_audio.wav,M9,F10,33,40,1,6,fake,M,9,h,h,4,True,34,AU23,0.1552553771421988
