,trial,condition,listener_au,duration,dyad,times_presented,model_performance,subject_accuracy,confidence,genuineness
50,./stim/processed_extracts/true/32\1_va.mov,true,AU12,14,32,7,0.022664538375525914,0.8571428571428571,2.2857142857142856,0.8571428571428571
51,./stim/processed_extracts/true/32\3_va.mov,true,AU12,11,32,9,-0.016728408782759753,0.7777777777777778,2.2222222222222223,0.7777777777777778
52,./stim/processed_extracts/true/34\5_va.mov,true,AU12,16,34,9,0.0005484000219725709,1.0,3.111111111111111,1.0
53,./stim/processed_extracts/true/34\7_va.mov,true,AU12,9,34,4,-0.04809185924213977,0.25,2.0,0.25
54,./stim/processed_extracts/true/35\2_va.mov,true,AU12,9,35,5,0.24436647966128477,0.8,3.0,0.8
55,./stim/processed_extracts/true/35\5_va.mov,true,AU12,7,35,4,0.24684939844960666,0.75,2.5,0.75
56,./stim/processed_extracts/true/36\3_va.mov,true,AU12,9,36,6,0.08448103729967402,0.16666666666666666,3.1666666666666665,0.16666666666666666
57,./stim/processed_extracts/true/36\4_va.mov,true,AU12,13,36,6,-0.07181577885507215,0.5,2.5,0.5
58,./stim/processed_extracts/true/37\1_va.mov,true,AU12,6,37,8,0.30107374038647466,0.625,3.0,0.625
59,./stim/processed_extracts/true/37\4_va.mov,true,AU12,7,37,5,0.007220061720941323,0.6,2.6,0.6
60,./stim/processed_extracts/true/38\4_va.mov,true,AU12,16,38,5,-0.05886662372433537,1.0,2.8,1.0
61,./stim/processed_extracts/true/39\1_va.mov,true,AU12,7,39,6,-0.06521616137735246,1.0,3.1666666666666665,1.0
62,./stim/processed_extracts/true/39\3_va.mov,true,AU12,10,39,5,0.06509280591605698,1.0,3.2,1.0
63,./stim/processed_extracts/true/40\1_va.mov,true,AU12,7,40,4,0.11611895869798985,0.5,2.5,0.5
64,./stim/processed_extracts/true/40\2_va.mov,true,AU12,12,40,9,0.36087046268315737,0.6666666666666666,2.0,0.6666666666666666
65,./stim/processed_extracts/true/40\4_va.mov,true,AU12,15,40,5,0.2868175798829067,0.8,2.8,0.8
66,./stim/processed_extracts/true/41\1_va.mov,true,AU12,9,41,6,-0.24317435145577293,0.5,2.5,0.5
67,./stim/processed_extracts/true/42\5_va.mov,true,AU12,13,42,6,-0.24149475959384575,0.8333333333333334,3.3333333333333335,0.8333333333333334
68,./stim/processed_extracts/true/43\2_va.mov,true,AU12,7,43,5,-0.184566467823672,1.0,3.2,1.0
69,./stim/processed_extracts/true/43\4_va.mov,true,AU12,8,43,8,-0.035853939708295444,0.875,2.875,0.875
70,./stim/processed_extracts/true/43\6_va.mov,true,AU12,7,43,4,0.19864912725591144,1.0,2.75,1.0
71,./stim/processed_extracts/true/44\2_va.mov,true,AU12,12,44,11,0.3983696220205,0.5454545454545454,2.272727272727273,0.5454545454545454
72,./stim/processed_extracts/true/44\3_va.mov,true,AU12,8,44,4,0.20080182915313738,0.75,2.75,0.75
