subj,trial,block,date,stim,stim_order,response,rt,param_index,video_path,condition,duration,dyad,mouth_fit,eye_fit,genuineness,category,block,audio_path
258,26,0,2024-07-30T09:43:59.755Z,57_1_original.mov,0,no,1308,0,./stimuli/original/57_1.mov,true,11,57,0.1901594820910893,0.18849068799535393,1.0,hit,original,./stimuli/audio/57/1_audio.wav
258,27,0,2024-07-30T09:43:59.755Z,31_29_3_32_4_original.mov,0,no,547,0,./stimuli/original/31_29_3_32_4.mov,fake,11,31,0.09959067922407874,-0.018974100942408284,0.5714285714285714,fa,original,./stimuli/audio/31/29_3_32_4_audio.wav
258,28,0,2024-07-30T09:43:59.755Z,1_3_original.mov,0,yes,1098,0,./stimuli/original/1_3.mov,true,26,1,0.1670316296049371,0.1814596651596774,1.0,hit,original,./stimuli/audio/1/3_audio.wav
258,29,0,2024-07-30T09:43:59.755Z,10_3_6_original.mov,0,no,5539,0,./stimuli/original/10_3_6.mov,fake,6,10,-0.3597339671539078,0.153488504955574,0.3333333333333333,cr,original,./stimuli/audio/10/3_6_audio.wav
258,30,0,2024-07-30T09:43:59.755Z,43_4_original.mov,0,yes,557,0,./stimuli/original/43_4.mov,true,8,43,0.3318926959502144,0.5459867646576265,0.875,hit,original,./stimuli/audio/43/4_audio.wav
258,31,0,2024-07-30T09:43:59.755Z,60_1_original.mov,0,no,2172,0,./stimuli/original/60_1.mov,true,6,60,0.4126687774525441,-0.0869895238350049,0.3333333333333333,miss,original,./stimuli/audio/60/1_audio.wav
258,32,0,2024-07-30T09:43:59.755Z,55_4_7_original.mov,0,yes,481,0,./stimuli/original/55_4_7.mov,fake,12,55,0.07584842753372179,-0.17660186780226106,0.625,fa,original,./stimuli/audio/55/4_7_audio.wav
258,33,0,2024-07-30T09:43:59.755Z,2_1_original.mov,0,no,883,0,./stimuli/original/2_1.mov,true,11,2,0.19621248210469247,-0.12352679664064495,0.3333333333333333,miss,original,./stimuli/audio/2/1_audio.wav
258,34,0,2024-07-30T09:43:59.755Z,4_4_original.mov,0,no,1676,0,./stimuli/original/4_4.mov,true,7,4,0.27149820146759923,0.2521458194443752,0.7142857142857143,hit,original,./stimuli/audio/4/4_audio.wav
258,35,0,2024-07-30T09:43:59.755Z,56_2_3_original.mov,0,yes,1879,0,./stimuli/original/56_2_3.mov,fake,11,56,0.5087935566381222,-0.06663988578182624,0.75,fa,original,./stimuli/audio/56/2_3_audio.wav
258,36,0,2024-07-30T09:43:59.755Z,4_7_original.mov,0,yes,1631,0,./stimuli/original/4_7.mov,true,19,4,0.2384833958602173,0.18368786210514884,0.8,hit,original,./stimuli/audio/4/7_audio.wav
258,37,0,2024-07-30T09:43:59.755Z,3_1_6_original.mov,0,no,667,0,./stimuli/original/3_1_6.mov,fake,7,3,-0.4642603847610854,0.43942074913705,0.25,cr,original,./stimuli/audio/3/1_6_audio.wav
258,38,0,2024-07-30T09:43:59.755Z,46_2_original.mov,0,no,795,0,./stimuli/original/46_2.mov,true,8,46,0.22314361077696993,-0.37187593532122043,0.4,miss,original,./stimuli/audio/46/2_audio.wav
258,39,0,2024-07-30T09:43:59.755Z,43_3_7_original.mov,0,no,1761,0,./stimuli/original/43_3_7.mov,fake,11,43,0.030979213372310438,-0.09750080961576384,0.75,fa,original,./stimuli/audio/43/3_7_audio.wav
